fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
1,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
2,TEST,0.44,0.46153846153846156,0.5,0.38461538461538464,0.4385290096535146,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.6666666666666666,0.5555555555555556,0.9090909090909091,0.7106690545187014,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
3,TEST,0.76,0.7692307692307693,0.8333333333333334,0.6923076923076923,0.75955452531275,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.5,0.375,0.3333333333333333,0.6363636363636364,0.4605661864718383,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
4,TEST,0.56,0.35294117647058826,0.25,0.8461538461538461,0.45993310550389993,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
5,TEST,0.64,0.6086956521739131,0.6363636363636364,0.6428571428571429,0.6396021490668313,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.65,0.622895430275293,0.6488888888888888,0.6472727272727272,0.6295946041173511,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.6080000000000001,0.5718145452160798,0.593939393939394,0.6208791208791209,0.5866215397678477,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
1,VALIDATION,0.85,0.8235294117647058,0.7777777777777778,0.9090909090909091,0.8408749651825217,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
1,TEST,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
2,TEST,0.6,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5991446895152781,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
3,TEST,0.76,0.8,1.0,0.5384615384615384,0.7337993857053428,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.5,0.375,0.3333333333333333,0.6363636363636364,0.4605661864718383,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
4,TEST,0.48,0.3157894736842105,0.25,0.6923076923076923,0.41602514716892186,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.72,0.9,0.4,0.6000000000000001,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
5,TEST,0.6,0.6428571428571429,0.8181818181818182,0.42857142857142855,0.592156525463792,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.65,0.6561696504688832,0.7577777777777778,0.5527272727272726,0.6211236242866098,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.5920000000000001,0.5593050808840283,0.6136363636363636,0.578021978021978,0.5694990862790336,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
1,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
1,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.001,0.0,0.0,8,resize_small_hu_m600_1500_separadas
