fold,set,accuracy,f1,tpr,tnr,gmean,auc,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.6161616161616161,8,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
3,TEST,0.52,0.6,0.75,0.3076923076923077,0.4803844614152614,0.4743589743589744,8,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.696969696969697,8,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
4,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,0.6282051282051282,8,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.7,0.7,0.7,0.7,0.7,0.6900000000000001,8,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
5,TEST,0.8,0.8,0.9090909090909091,0.7142857142857143,0.8058229640253803,0.8701298701298701,8,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.7,0.7088569249209982,0.7844444444444443,0.6309090909090909,0.697624064549875,0.6612323232323232,8,0.001,8
MEAN,TEST,0.6,0.6234472934472934,0.6984848484848485,0.5120879120879122,0.5916324542373739,0.6047952047952048,8,0.001,8
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.7676767676767677,8,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
1,TEST,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,0.608974358974359,8,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,0.5757575757575757,8,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
2,TEST,0.4,0.21052631578947367,0.16666666666666666,0.6153846153846154,0.32025630761017426,0.5256410256410257,8,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.6262626262626263,8,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
3,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,0.4807692307692308,8,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,0.6363636363636364,8,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
